"decimalLongitude","decimalLatitude","countryCode","ID","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19"
75.763128,26.895139,"IN",1,25.3126659393311,12.9446659088135,40.9123458862305,623.541809082031,39.8680000305176,8.22799968719482,31.6399993896484,28.9873332977295,17.6746673583984,32.0526657104492,16.6946659088135,614,214,3,151.129287719727,511,13,272,17
75.031783,26.627988,"IN",2,25.6238327026367,14.4743328094482,43.1451454162598,621.276916503906,40.7879981994629,7.23999977111816,33.5479965209961,29.089334487915,24.1920013427734,32.4300003051758,17.0666675567627,453,169,1,155.868041992188,391,8,187,10
75.787716,25.190185,"IN",3,26.8748340606689,12.6936664581299,39.6776275634766,585.762756347656,42.492000579834,10.5,31.992000579834,29.1000003814697,26.1446666717529,33.8313331604004,18.9946670532227,756,269,3,156.570693969727,648,10,74,12
81.846528,25.413314,"IN",4,26.1498336791992,12.3023338317871,38.6040306091309,611.537963867188,41.0880012512207,9.22000026702881,31.8680000305176,29.5053329467773,30.0093326568604,32.7480010986328,17.6679992675781,915,292,3,137.738876342773,729,20,100,36
75.824832,25.210726,"IN",5,26.4545001983643,12.5283336639404,38.3598709106445,613.387939453125,42.6240005493164,9.96399974822998,32.6599998474121,28.9173336029053,25.3626670837402,33.71533203125,18.1919994354248,731,258,3,157.092910766602,626,10,71,13
81.846528,25.413314,"IN",6,26.1498336791992,12.3023338317871,38.6040306091309,611.537963867188,41.0880012512207,9.22000026702881,31.8680000305176,29.5053329467773,30.0093326568604,32.7480010986328,17.6679992675781,915,292,3,137.738876342773,729,20,100,36
81.848569,25.412144,"IN",7,26.1498336791992,12.3023338317871,38.6040306091309,611.537963867188,41.0880012512207,9.22000026702881,31.8680000305176,29.5053329467773,30.0093326568604,32.7480010986328,17.6679992675781,915,292,3,137.738876342773,729,20,100,36
81.848065,25.41232,"IN",8,26.1498336791992,12.3023338317871,38.6040306091309,611.537963867188,41.0880012512207,9.22000026702881,31.8680000305176,29.5053329467773,30.0093326568604,32.7480010986328,17.6679992675781,915,292,3,137.738876342773,729,20,100,36
81.785078,25.448686,"IN",9,26.171667098999,12.5226669311523,38.8420181274414,616.232543945312,41.3040008544922,9.06400012969971,32.2400016784668,29.533332824707,30.0693340301514,32.8486671447754,17.6420001983643,923,288,4,136.222579956055,731,22,104,37
76.219219,17.514894,"IN",10,27.3091659545898,13.2729997634888,52.645565032959,320.813415527344,40.5359992980957,15.3240003585815,25.2119979858398,26.4713325500488,26.6579990386963,31.8133335113525,23.6906661987305,805,202,2,106.025863647461,509,11,62,26
75.838013,25.231858,"IN",11,26.5073337554932,12.4313335418701,38.3068351745605,612.854431152344,42.5279998779297,10.076000213623,32.4519996643066,28.9973335266113,25.4593334197998,33.7213325500488,18.2273330688477,726,256,3,157.331451416016,621,10,71,13
73.81752,18.483099,"IN",12,24.6671657562256,12.5256671905518,51.9134063720703,277.616516113281,36.6040000915527,12.4759998321533,24.1280002593994,25.2220001220703,23.1626663208008,28.2986660003662,21.3366661071777,963,310,0,119.987091064453,637,2,200,6
79.806902,28.956231,"IN",13,24.6324996948242,11.9069995880127,39.8921203613281,602.099731445312,39.023998260498,9.17599964141846,29.8479995727539,28.6446666717529,23.0960006713867,30.783332824707,16.2379989624023,1505,467,4,130.141021728516,1113,49,674,72
75.572359,21.025155,"IN",14,27.6143341064453,13.9193325042725,48.0043182373047,412.975128173828,42.3240013122559,13.3280000686646,28.9960021972656,27.5526657104492,28.8540000915527,33.2960014343262,22.7000007629395,783,224,1,128.286758422852,564,7,150,25
